ril_id,ASV3,ASV5,ASV6,ASV9,ASV12,ASV17,ASV19,ASV25,ASV31,ASV36,ASV46,ASV54,ASV57,ASV66,ASV67,ASV68,ASV82,ASV90,ASV94,ASV100,ASV102,ASV103,ASV121,ASV122,ASV126,ASV127,ASV138,ASV142,ASV149,ASV166,ASV169,ASV172,ASV175,ASV180,ASV184,ASV192,ASV193,ASV204,ASV210,ASV216,ASV228,ASV231,ASV240,ASV241,ASV262,ASV269,ASV272,ASV289,ASV290,ASV294,ASV295,ASV297,ASV312,ASV323,ASV329,ASV343,ASV355,ASV379,ASV418,ASV434,ASV462,ASV511,ASV534,ASV586,ASV603,ASV693
p285,8.58460171146249,8.12566248903781,7.09213407573217,6.64589321939692,6.73845355609157,5.49525279165579,6.57678596967559,6.10676059099649,5.36467630373659,5.93331980498634,4.97475711876732,4.43875615045926,4.90128613649771,5.19058032056512,4.74206681366401,4.88231850716881,5.97867362469559,4.72086965527153,4.78354907224028,4.69935640224709,3.91183749741613,4.15248869651616,5.69325298827528,4.0542235642736,4.63282213949975,0,4.72086965527153,4.41255414731619,0,5.17507765650227,3.20111962304591,4.12047160335188,0,3.71148630948221,3.87393150097648,3.26108565844215,3.79499408254712,3.94877298052088,2.85700978412534,3.91183749741613,4.48977433880434,2.602685103996,3.00463821689868,2.69253452005575,3.42733819830197,3.37402139847738,2.602685103996,2.77711477078826,3.83500260949335,0,3.71148630948221,3.52840149669169,3.00463821689868,2.93271149678716,3.57639657670675,3.42733819830197,0,3.07314862180005,1.90004193000605,3.20111962304591,2.04354066572979,3.07314862180005,2.17404859667523,2.69253452005575,2.17404859667523,2.50686613353064
p286,7.59207807802573,8.487069949219,5.7226758003693,6.14359952075381,5.7727108130256,3.01464541809224,4.12097831654523,6.18113604652531,5.60608061440561,4.15155604683078,3.69230973406011,5.17134327981747,5.64957689716075,4.9456717755279,4.73971205707276,5.01383012461838,4.37531798079543,4.73971205707276,3.92250710900107,5.20088261506088,2.94652649921162,4.45102366683006,3.95754015498234,4.12097831654523,3.92250710900107,4.23958296249905,4.40099715652981,3.01464541809224,4.08973843580157,3.69230973406011,3.31400191977274,3.69230973406011,3.56178998808673,3.65010167906067,3.41827696595964,3.41827696595964,3.73331795328197,2.54728259917679,3.20159879223541,3.31400191977274,2.87503116722988,3.07969250062634,3.73331795328197,3.46771794984872,2.54728259917679,3.51552058810789,3.73331795328197,0,2.94652649921162,2.35046561631839,3.07969250062634,0,2.45222780703544,0,0,3.25889477204563,3.01464541809224,3.36708133624758,2.35046561631839,2.35046561631839,2.94652649921162,0,2.12249182215968,3.31400191977274,2.12249182215968,1.69434652924113
p287,9.25311838286175,7.8608756118564,6.46849390996796,6.41844956260025,6.84197598760586,7.55343769220374,3.28123909603181,5.59393825795827,5.31879102332088,4.74578903879112,0,4.57356461918788,5.62368948666781,4.81619468666014,5.03863373548685,4.48988363463354,4.44614966519459,4.78142130755783,4.40104838404315,5.28194829694586,3.23057924279221,4.28171193537566,4.89962903168104,4.30638200250067,4.30638200250067,4.35449152820722,4.57356461918788,4.17858342258902,4.06751148614113,4.12411610791175,4.17858342258902,3.97820914128827,3.78108690833494,3.74544627660827,0,3.46776686221386,3.37751543152815,2.81521516108926,2.67068772124484,2.88238874106943,2.7447605078407,3.37751543152815,3.28123909603181,3.42334677008651,3.70890282083996,3.23057924279221,2.81521516108926,3.33018022395748,3.74544627660827,2.12253324615188,2.88238874106943,2.67068772124484,3.33018022395748,0,3.81586825202584,3.17807553961263,0,0,2.51005314031969,2.3292656482207,3.55270325165431,0,3.00802353948475,0.417334496100181,0,0
p288,8.44131361651319,5.81409120478825,8.35263401325002,6.52387414979468,6.18022036111203,7.14974299116711,5.30750846249079,6.19629861736826,5.43493655481313,4.879888152972,0,4.77673714122183,4.79796580283232,5.66030527490621,4.54526653755809,4.23870364331539,3.76516399882986,4.4679069101413,4.10882178567919,4.83950838715555,3.76516399882986,5.10096876552935,3.67624796519112,3.67624796519112,3.12440073878816,4.07443835039444,4.07443835039444,3.92807284910644,3.48006759967654,3.25294794509939,4.10882178567919,4.07443835039444,0,3.88903756718081,0,3.48006759967654,3.31316682155965,3.37097252038041,3.12440073878816,2.82681962227446,3.19010559737321,2.98326928174135,3.25294794509939,3.31316682155965,3.76516399882986,3.92807284910644,2.65131707125599,0,3.58148983795235,0,2.74173541873287,4.49415706648769,3.37097252038041,0,0,3.19010559737321,0,0,3.53166979009045,2.65131707125599,0,2.65131707125599,2.34010328692599,2.21941636531349,1.94274802246985,2.65131707125599
p289,8.77082746948115,8.37411611312883,6.12381274959972,6.70846250659305,6.74743995663897,7.26886437045208,4.76834226045542,6.40142942627965,5.51943921783204,5.25669003491565,3.84450166770198,4.10677685497827,5.47368153572947,4.86603216602522,4.36249834455433,4.06624335473948,4.42794533155882,4.25840018926488,0,4.84222281236039,2.64399391065125,4.76834226045542,4.6081599713206,4.06624335473948,4.06624335473948,3.89166046813122,3.79574909705197,3.89166046813122,4.55055395406657,3.74529125126485,4.52086476886343,3.74529125126485,3.89166046813122,4.29394072384741,4.02453803583965,3.84450166770198,3.39869778205765,0,2.26861876163212,3.79574909705197,3.46255839714969,2.94159042777833,3.11056895867319,3.52371165204064,2.84904860781427,4.25840018926488,3.46255839714969,2.94159042777833,3.79574909705197,2.52938862028057,3.26181442835939,0,3.52371165204064,2.52938862028057,0,0,2.64399391065125,2.94159042777833,2.11812339395214,0,3.11056895867319,0,2.40488751849766,0,2.11812339395214,0
p290,9.27162852103111,6.73349599656572,7.24906037179853,7.64501311171989,7.1671559840438,8.33253761173035,4.65842466266218,6.75857127743107,4.73622521553372,6.92286171714385,6.29324858306545,4.54770027401481,4.3638405508955,5.39385465791716,4.42776625878305,0,4.902937511693,4.45869736039383,4.71075504194439,4.94723348296768,4.42776625878305,4.39615744378658,6.00972418700368,3.6622565242532,3.76482208928501,3.95037091452143,4.15307933000439,4.54770027401481,4.19041437697527,5.51652326080925,4.51863847750615,4.07537936493531,4.60412444628079,4.92525549652875,0,3.55183736634098,3.08111573448446,3.15851549108073,3.3018715191838,0,3.86057743888951,0,0,3.49328790006891,5.24210761115676,3.49328790006891,0,0,3.60810307768791,0,3.6622565242532,2.50186688495769,3.15851549108073,0,3.36853903717895,3.86057743888951,2.99932694421878,0,2.24224983968164,2.91262126864859,0,0,2.99932694421878,0.950719097228782,3.08111573448446,0
p291,7.855887666122,7.14001955466519,7.63120619731577,5.91878138301083,5.96179071752986,4.98475409621172,6.67446297864601,3.96765824048586,4.73494209175197,6.20494040185196,3.96765824048586,4.27102491663963,4.65857099219353,4.78369878184534,4.68447983325743,4.12730083888061,0,3.96765824048586,0,4.98475409621172,3.83514707407893,4.52155103074413,3.40748654187393,3.96765824048586,4.65857099219353,0,3.58303541994875,3.46840735294526,3.73952188338164,3.34387936831963,3.73952188338164,4.12730083888061,0,2.9754446668717,3.27733794386329,2.79694172366686,3.27733794386329,3.46840735294526,2.79694172366686,3.68922238264061,2.88895218070858,3.05704374095502,2.88895218070858,0,2.22074079546529,2.9754446668717,1.90534913697356,1.71735487695674,2.35586007155852,2.47940106622274,2.79694172366686,4.12730083888061,0,0,0,0,0,0,2.79694172366686,1.90534913697356,2.07164644161075,0,0,1.24671070931263,0,2.47940106622274
p292,7.9187455436089,7.70711476281654,7.4590130522615,5.89586549913132,5.98384343669934,3.02639632033831,6.54287120088389,3.48684665607078,5.37516958241789,4.99880257701726,5.04415601648978,5.45569930453323,5.35131061465047,4.99880257701726,4.91989366133354,4.27648551696346,3.72827248278988,4.87038990124283,3.69073732433887,3.52999524692915,3.34907154475628,4.08723174196814,2.76261439785691,4.37443585019199,3.52999524692915,4.39791849762301,4.76597517685315,2.96483330499953,3.44236767109036,3.24932244510355,3.48684665607078,3.69073732433887,3.52999524692915,4.14388415957022,4.19839572698909,3.8005343211258,0,3.99785006979432,3.69073732433887,3.02639632033831,2.24611725897368,3.08543946625453,3.30005891492677,0,1.60511764883873,0,0,2.96483330499953,2.02265485789352,2.24611725897368,2.76261439785691,0,3.30005891492677,2.43956430127559,0,3.02639632033831,0,2.34608070232575,2.96483330499953,0,2.34608070232575,0,4.08723174196814,2.83321734145846,0,1.43394116644355
p293,8.86436734132657,7.62588115210853,6.70360040360631,6.10338271637675,5.34803410769252,3.13818960496523,5.66286063368693,2.73893458546147,5.99521817853392,4.28142062795557,3.54127589735959,5.91267059403346,4.65088108927003,4.47794559424901,4.47794559424901,3.49663311268221,6.11080709703344,4.22780160480176,4.22780160480176,3.54127589735959,4.7868670582984,4.54524872448048,0,3.8559854560691,3.70719506075994,4.4547949339589,4.60955154559094,3.30281517773011,0,0,3.74585583341016,2.48840301953057,3.35376489280845,3.30281517773011,3.8559854560691,3.7835075708466,3.25000006145716,3.35376489280845,3.35376489280845,3.49663311268221,2.57683654742768,3.30281517773011,3.62661938643106,2.73893458546147,2.48840301953057,0,3.74585583341016,3.07885746236724,3.35376489280845,2.95232959911255,3.95830117772198,2.66016099224952,3.25000006145716,2.39419271349477,0,2.95232959911255,3.07885746236724,2.57683654742768,3.54127589735959,1.4718006299705,3.07885746236724,0,0,0,0,0
p294,8.82574786110614,7.2633114389091,7.73431318933445,7.19097674181198,6.28735362927761,8.57361724174041,5.81654464327585,5.5135441940656,5.99708235422694,6.81386485635633,6.30188759904882,4.82188933018029,5.04563822424606,5.14571612997708,5.44971409856287,3.54549355829749,4.26220818978092,5.3965353762852,4.37647517790572,5.20877482041865,4.20149123895206,4.26220818978092,5.72244225508059,4.69549457365136,2.79310475300296,3.68508752990509,4.4303847561956,4.50765045062566,3.85240331761439,3.92930579997599,4.37647517790572,3.49579023627008,0,4.10533793508502,4.26220818978092,4.23216910585051,3.59354139166055,3.39093135266762,3.08964236724058,3.39093135266762,3.02102441109121,3.02102441109121,2.87314607988976,3.02102441109121,3.81235814100106,3.15514433563802,2.30863232868217,0,2.94897913450582,2.79310475300296,2.30863232868217,3.59354139166055,3.27784947708754,0,3.27784947708754,3.2178010641391,3.02102441109121,3.39093135266762,2.61832598732221,0,0,1.57389122220603,3.39093135266762,2.87314607988976,2.70836050249942,2.18862844012072
p295,7.48287325553014,8.81065284899275,6.12677378310034,6.10707036017588,5.80674430917301,4.40743222882464,4.71569909294852,5.94634503987707,6.29875211854437,3.98640374552093,0,5.98284042283255,5.80674430917301,4.44976476170474,4.58885078551863,1.94245891551009,4.07019938713135,4.47047415399387,3.59197278656315,4.24864706210732,3.4322417220463,3.80262610672627,0,4.19987388727585,4.47047415399387,4.58885078551863,0,4.09708351624146,2.59819659337218,4.22446657414795,2.93264158999938,3.10147164224298,2.67157600097754,3.04736085418637,4.12347581982114,4.04280475332821,2.80800595773692,0,2.99114119306856,2.52088396098714,2.05643011661772,2.74140308389008,3.59197278656315,3.10147164224298,2.05643011661772,3.38938412110904,3.62928755360566,3.51431674689534,1.53392938111154,0,3.10147164224298,0,0,2.87166927760493,3.38938412110904,0,2.80800595773692,0,2.80800595773692,0,1.94245891551009,0,0,2.43919245252892,0,1.94245891551009
p297,7.75782632702263,9.005714371396,5.20796033206027,6.93560206810467,6.0799043945299,7.92774375367661,5.86806435123904,5.64842786517834,5.51946893685919,5.10107583603869,0,5.54007465368485,4.95527070352626,5.03001445023573,4.40090478410088,3.82751061031784,4.07350815571833,4.35512362550829,3.44595489005136,4.50937862643393,3.75884855852275,3.61086775191715,4.28360702437478,4.30784194343066,4.1559216262239,4.23388057237599,3.40160308216777,3.75884855852275,3.79358802421048,3.04585017127528,3.82751061031784,2.98703092723053,2.72436868882981,3.5713729354685,3.48898378824506,3.04585017127528,0,2.72436868882981,3.20915745589424,2.10408204345422,3.04585017127528,3.30858675865321,3.15674912749584,3.15674912749584,2.72436868882981,1.98889080506979,3.35584443243854,3.5713729354685,1.57509189363077,2.31007523652034,3.30858675865321,2.79465169296516,2.65048561400062,2.72436868882981,3.6493101169446,0,2.92571129669743,0,2.65048561400062,1.86369782514012,2.57261365368037,2.10408204345422,2.31007523652034,0,0,0
p298,8.93980349299575,8.55092298165128,6.75315294163095,6.2149493533838,6.70118078330406,6.37610052915399,6.71696995710616,6.09923737560984,6.10724702887765,6.16210300310875,4.50815765845372,5.39990162517848,5.70445807532033,5.1591780481745,4.50815765845372,3.84386113198575,5.4128849295129,4.40796502780924,3.54683556596234,4.53215513524688,2.66528166523289,4.02389187624525,4.97885234331867,3.68168100769872,4.57898479160122,0,4.68981129935593,3.59319865082092,4.24328301835498,4.4336730323683,4.24328301835498,4.15331028759142,2.90468632468179,4.5557599655019,4.50815765845372,4.09005179670669,0,3.68168100769872,3.59319865082092,3.0447278061972,3.0447278061972,3.10996021245237,3.63811806517443,3.2896317588042,0,0,3.72396700782919,2.82921435602134,2.90468632468179,2.0191450492667,0,0,3.23219204494701,0,3.54683556596234,3.44938495518922,2.57575573660453,0,2.57575573660453,2.82921435602134,3.23219204494701,0,0,2.66528166523289,0,0
p299,8.68898768744988,7.67966037280726,5.1605449952878,9.42647385803887,6.24836163909635,2.47885933934541,4.87589335052205,4.33722402887924,5.1040987439332,5.65550371853915,0,4.783062631369,4.6838453893287,5.24997544063224,4.52091965670872,4.94179533410189,0,4.27039899419275,5.81640109286381,4.40109029895063,3.46780688290033,3.58243039385264,4.16397300795861,4.00863620943807,3.96704032116008,0,3.92420944176518,3.88006798710388,3.68861344707419,0,5.14197388901087,3.20698975254661,4.16397300795861,4.23578871179567,3.46780688290033,3.20698975254661,3.1336886559745,3.40688864461108,0,2.47885933934541,4.27039899419275,0,3.27674592080885,3.05646295183358,3.8345332145205,3.27674592080885,1.90486526577118,2.79637660715994,3.40688864461108,2.59264168034994,3.05646295183358,0,3.1336886559745,0,3.52625670763718,4.27039899419275,0,0,1.90486526577118,2.47885933934541,2.07114338254904,3.1336886559745,0,0.543452865853405,0,2.22022231622563
p300,7.36045790584994,8.45812171460791,6.15088548163582,8.49380578474798,6.19096336637826,6.88134054926191,5.81363230654468,6.31220718415367,5.66219728816037,6.30492075647459,5.46710297008181,4.42063957592227,5.21057678982692,4.83905750416206,4.27907987143557,4.05419642525379,5.62757039096718,4.01900527998003,4.59804206714236,4.21832328142808,2.72344575968725,3.70150555211746,4.3085248512474,3.82889236167534,4.05419642525379,4.12210368657149,3.40703809086375,4.01900527998003,3.56177175926695,3.78766734291289,4.24902138505185,3.74522957989351,2.43390027678534,3.23369258695001,4.21832328142808,3.70150555211746,0,2.43390027678534,2.43390027678534,2.72344575968725,4.33738086823722,0,3.10535706732394,3.51201529190911,2.32285186315385,3.10535706732394,3.10535706732394,2.88852391322037,2.88852391322037,2.32285186315385,2.6332366672312,0,2.6332366672312,0,0,0,3.10535706732394,0,0,2.72344575968725,1.76634986670533,0,2.20253755380555,0,0,0
p301,8.11789151461484,7.66975847119403,8.54041942471863,5.26826875160557,6.5362652309462,4.79102000728231,4.18481928443657,3.56740146603671,5.90199937917611,4.79102000728231,2.9605599935569,4.53368280068012,5.3344506797333,5.18102916872304,4.92592643884941,3.72374081750477,4.71852087142228,4.61581468949096,0,5.12603546793834,2.34214403928568,4.56158286069688,4.47620990301458,4.41635211145,3.3920377494153,3.99325527036665,3.45289173871263,3.72374081750477,3.77230300855458,0,4.38546537930759,3.99325527036665,3.51128241388874,3.32850341815902,4.64218480167227,4.11121708393644,0,2.46541042206228,2.87420215815454,0,0,2.87420215815454,3.51128241388874,0,2.78234407142266,0,2.05865876707174,0,0,2.20735323118835,0,0,2.87420215815454,2.9605599935569,4.32163443643246,0,3.3920377494153,0,2.46541042206228,2.20735323118835,0,0,0,2.20735323118835,2.20735323118835,1.7055003168365
p302,7.21307227477055,7.0109192863662,7.42228058285527,7.335507743548,6.31353010994153,7.29870923551638,5.01297583277385,5.73478591225788,5.62015328884082,6.41223464768004,3.03500722278397,4.98474104689468,5.17167940384155,5.38113953909208,4.95594263287361,5.02688867629483,4.21116037978767,4.61275549712394,4.3940360423648,4.88132648422292,3.24001813808017,4.8503648461118,4.30549393232146,4.30549393232146,3.78957648969292,3.82185578148488,3.91457410237903,4.71941238170363,4.00169178189369,3.28702174294884,4.83463123352553,4.28248248617788,4.18658068204917,3.14115119713641,3.28702174294884,3.54080817111492,3.28702174294884,2.97885540295736,3.14115119713641,3.3325421470537,4.08384706231283,3.03500722278397,3.24001813808017,3.19143141273161,3.65271262913796,4.18658068204917,2.85953673000442,2.65973026912313,3.46107216355014,2.85953673000442,3.14115119713641,0,3.24001813808017,0,3.72276693072745,2.97885540295736,2.15114516613297,0,2.79596039472316,4.0295999378366,2.34129823474848,2.72945271911536,2.85953673000442,0.392747269649291,1.80864407864494,0
p303,8.42049926621597,7.95263256485285,6.2965379158574,6.66362337691445,6.24932792807931,4.51926979472201,5.51433927115935,6.48494730151199,5.4180055151925,5.22000544172622,5.15317963306545,4.2896552711259,4.91177041871633,5.4180055151925,4.57138559263233,0,6.50518452905214,4.2896552711259,3.77113436581832,5.25229231899565,2.95386259176519,4.2896552711259,3.72586395015704,4.19316313970029,3.63082481827773,0,4.1250522621956,3.58084943462244,4.3204365595454,4.67028813056928,4.35057479577902,4.01644879607621,0,3.85762425858282,4.35057479577902,3.67912684374336,0,2.3833945562079,2.87311324043435,2.78757488161179,0,3.30115189764626,2.78757488161179,0,2.3833945562079,3.10294923513166,3.47538471194215,0,1.98270734643717,2.3833945562079,0,2.95386259176519,0,0,4.3204365595454,0,2.5995928866842,3.47538471194215,2.26179156682544,0,1.98270734643717,0,2.12898744150155,0.507680964502202,0,1.81990431465884
