id,ril_code,seed_weight,seed_size,seed_length,seed_circularity,seed_yield,fresh_gmax,fresh_t50,fresh_u7525,fresh_auc,strat_gmax,strat_t50,strat_u7525,strat_auc,35C_gmax,35C_t50,35C_u7525,35C_auc,nacl5_gmax,nacl5_t50,nacl5_u7525,nacl5_auc,36C_gmax,36C_t50,36C_u7525,36C_auc,36C_25C_gmax,36C_ga_gmax,36C_dead_gmax,peg5_gmax,peg5_t50,peg5_u7525,peg5_auc,12C_gmax,12C_t50,12C_u7525,12C_auc,h2o2_gmax,h2o2_t50,h2o2_u7525,h2o2_auc,peg3_gmax,peg3_t50,peg3_u7525,peg3_auc,nacl3_gmax,nacl3_t50,nacl3_u7525,nacl3_auc,fresh_shoot,dry_shoot,fresh_root,dry_root,hypocotyl_length
250,43,1.356749876,2.796434424,2.502371788,0.793296009,6149.5,1,41.0883255,14.25390911,156.5589752,0.996296296,39.12434006,9.615796089,78.82271576,0.962794613,62.84358597,19.0610218,129.4258423,0.54357762,108.5163956,47.62809753,48.94029617,0.495783926,50.87620544,14.12220478,109.6302643,0.171296296,0.318181818,0.011034256,0.437037037,181.8549957,57.45866013,11.22087097,0.885185185,215.1821289,78.12091827,76.63631439,0.340740741,243.352356,57.69642639,1.885911465,0.477777778,101.4401932,47.74674988,45.64965439,0.977777778,78.00627899,25.46452141,115.8523331,21.71,1.47,11.5,0.8,2.21
252,44,2.15942623,4.143366333,3.027971983,0.777050406,2731,0.74468599,108.9357986,38.60517502,70.10437012,0.641112343,90.43090057,32.06079483,23.2730732,0.244444444,175.7400513,35.07743835,17.75277138,0.181481481,188.9320526,60.43571091,6.954649925,0,NA,NA,NA,0.018518519,0.681481481,0,0.374074074,207.7996368,25.1977787,2.189196348,0.514814815,437.8632813,130.0499878,2.067093611,0.524074074,183.645401,68.35133362,25.62290764,0.24537037,112.7504578,29.17755127,7.531860352,0.950241546,107.5234756,36.36745071,83.75558472,35.93,2.65,15.91,1.34,2.46
253,45,1.932457344,4.306373477,3.180184245,0.736382216,9636.5,0.992508418,65.20822906,16.68016815,131.6049805,1,57.80818558,12.86559772,61.03710556,0.962962963,125.116188,31.84609032,69.53261566,0.981481481,130.9739685,29.80640221,65.92385864,0.107407407,182.0184021,37.8302002,5.030511856,0.562962963,0.322222222,0.007407407,0.782125604,172.071701,49.54481888,24.98340034,0.988888889,309.8780212,48.57188797,12.40826035,0.937037037,139.0923615,43.07785034,54.83619308,0.925925926,162.1100464,52.66350937,38.96250534,0.977693603,107.9147568,24.01679039,88.08337402,28.18,2.2,14.48,1.33,2.43
254,46,1.314108986,3.198068544,2.798163772,0.737973183,6369.5,0.933333333,29.66758537,6.006999969,157.3723145,0.889130435,32.69420624,3.721339226,76.74950409,0.941062802,39.36192703,6.156947613,150.3465729,0.944107744,61.72459412,20.83130646,127.3777771,0.796585419,55.58786011,18.72611809,112.9443436,0.099937784,0.04058703,0,0.803703704,124.9423752,49.28330612,57.03210449,0.918518519,179.0387115,58.42292786,105.9491653,0.444444444,132.0115662,62.97377014,30.20380211,0.922222222,69.40559387,27.01286888,115.4913635,0.962962963,59.43444443,12.80582714,132.4966583,21.82,1.61,8.69,0.78,2.29
255,47,1.464462351,3.028605402,2.591981292,0.796473205,5830.5,0.996296296,67.02939606,19.95644188,130.1129761,1,62.70595932,16.51353645,55.89036942,0.874074074,88.48163605,27.87261391,97.06051636,0.440740741,137.2851715,34.14399719,27.9804306,0.216077441,104.7437744,31.30937004,28.75344276,0.022222222,0.606060606,0.155639731,0.437037037,199.7810211,23.47748375,4.680056572,0.851851852,301.5773315,72.95796204,21.58851433,0.374074074,218.7430267,79.08963013,6.122134686,0.333333333,133.6344757,37.92634964,14.04996872,0.973504274,79.81564331,21.95416832,113.3905869,25.88,2.05,11.75,1.26,2.59
256,48,1.324925558,3.755162546,2.836031318,0.754330248,5924,1,68.69499207,17.43772697,129.6813202,1,67.00884247,16.81945801,51.55512619,0.952009456,110.079628,23.45845985,84.1337204,0.685185185,169.1137238,37.27468109,33.08879471,0.218518519,109.6174316,40.84233475,23.92435265,0.333333333,0.314814815,0.133333333,0.555555556,193.368454,36.44646835,10.89288044,0.988888889,268.1629333,59.30965042,41.11187363,0.855555556,167.510849,57.15433884,36.79166412,0.437037037,153.7857361,54.76773453,15.08049488,0.922222222,118.3013,38.09719467,71.34636688,21.36,1.93,8.57,1.01,2.7
257,49,2.340217391,5.701554775,3.565767288,0.770136476,2142,0.87037037,53.69353867,14.1478014,123.5929947,0.877777778,54.83042908,15.30904865,55.02752686,0.759259259,78.17443085,31.81998634,85.7289505,0.878844648,96.08889008,20.59192848,89.43210602,0.265740741,100.3473511,24.48293304,28.05200195,0.312962963,0.278703704,0.02037037,0.730820106,164.2908936,42.42772675,27.76096916,0.868518519,172.3149261,32.61351776,110.9176559,0.733333333,139.876236,50.83460999,44.3604126,0.77962963,139.9367218,47.41932678,45.6329155,0.741666667,83.02266693,16.63222313,84.02996063,37.28,2.24,19.22,1.28,3.04
258,50,2.088406296,4.470158303,3.188147545,0.759747207,3061.5,0.963365539,43.260849,8.907684326,148.9490204,0.977777778,39.73306656,7.134366512,77.85598755,0.937037037,66.21683502,26.53866768,120.9395828,0.956481481,90.99097443,22.54105377,102.2710571,0.236795491,75.91467285,23.61505318,50.88666153,0.266183575,0.441706924,0.033091787,0.632407407,150.7574005,41.96997452,29.6213131,1,244.3257446,52.10923386,57.67889404,0.692592593,177.1177368,50.59644699,22.41905022,0.894444444,87.39664459,33.24699783,97.23233795,0.992592593,91.49090576,33.08820724,102.866272,29.81,2.39,15.81,1.4,2.32
259,51,1.799786325,3.93057938,3.08380115,0.740334541,5214.5,0.796698873,47.15995789,13.55473232,120.2114944,0.803703704,47.96020126,9.314455986,57.88619995,0.807568438,67.70363617,27.32137871,105.1162109,0.792255892,80.84720612,25.75223732,91.5154953,0.296632997,69.85909271,22.99927521,71.92188263,0.011111111,0.524875567,0,0.637037037,148.4546661,54.62681961,32.2032814,0.718518519,276.1866455,89.98239899,31.26447487,0.322222222,147.3959351,81.63432312,16.70469093,0.774074074,90.77101898,48.90604782,81.33450317,0.783333333,65.28646088,20.22834206,100.0072327,24.87,1.93,11.72,1.1,2.48
260,52,1.627569307,3.807672057,2.827505231,0.780650854,6226,0.992592593,48.58901978,11.94344807,148.7497101,1,49.12014389,15.98399353,68.91890717,0.814025002,74.89538574,37.62377548,95.25137329,0.859259259,132.1574707,43.66014481,55.20315933,0.033333333,87.65898132,30.42058563,9.681853294,0.922222222,0.025925926,0.018518519,0.737037037,175.2746582,55.04449081,23.11671257,0.985185185,160.8692169,45.60415268,134.930542,0.314814815,171.5500641,89.83332062,22.89480591,0.555555556,160.7786255,53.55550003,24.16374016,0.858333333,86.60774994,28.01660728,93.0072937,26.85,1.6,11.06,0.76,2.53
